AuthorID,Author,Date,Content,Attachments,Reactions
"803250819859873843","Eileenie#8213","01/09/2023 8:20 AM","For the hyperledger pluggable hcs tutorial, when executing the byfn script, I get the an error message: “Cannot run peer because error when setting up MSP of type bccsp from directory /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/ordererOrganizations/example.com/users/Admin@example.commsp: KeyMaterial not found in SigningIdentityInfo”.  Any help would be greatly appreciated.","",""
"803250819859873843","Eileenie#8213","01/09/2023 8:29 AM","For the hyperledger pluggable hcs tutorial, when executing the byfn script, I get the an error message: “Cannot run peer because error when setting up MSP of type bccsp from directory /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/ordererOrganizations/example.com/users/Admin@example.commsp: KeyMaterial not found in SigningIdentityInfo”.  Any help would be greatly appreciated.","",""
"950496193337786418","Michael Garber#5033","01/09/2023 8:39 AM","This is an error from hyperledger, is your gopath set correctly? https://www.edureka.co/community/29610/hyperledger-fabric-create-channel-channel-creation-failed","",""
"803250819859873843","Eileenie#8213","01/09/2023 10:03 AM","For peer0.org1","",""
"803250819859873843","Eileenie#8213","01/09/2023 10:07 AM","Thank you and yes. Fixed by changing protection. Getting a new error for peer0.org1:
“…chaincode install failed with status 500 - failed to invoke bacing implementation of ‘InstallChaincode’: could not build chaincode: docker build failed…”","",""
"950496193337786418","Michael Garber#5033","01/09/2023 10:45 AM","What is your go version?","",""
"803250819859873843","Eileenie#8213","01/09/2023 11:26 AM","1.16.2","",""
"803250819859873843","Eileenie#8213","01/09/2023 2:50 PM","Hyperledger works fine with the fabric samples on my side.  There is a problem with the hyperledger pluggable hcs tutorial.","","👀 (2)"
"950496193337786418","Michael Garber#5033","01/09/2023 4:52 PM","@Eileenie may I ask what project are you with that you're needing this?","",""
"803250819859873843","Eileenie#8213","01/09/2023 7:04 PM","ZIOS3","","👍 (2)"
"950496193337786418","Michael Garber#5033","01/10/2023 7:59 AM","Looking into this. I will update you when I hear something.","",""
"803250819859873843","Eileenie#8213","01/10/2023 11:23 AM","Thank you","",""
