AuthorID,Author,Date,Content,Attachments,Reactions
"237708873828532225","craycrayultracontrarian","01/01/2023 2:56 PM","Is anybody able to help me with this? Is it just a stupid question?","",""
"306966472692072448","vr1587","01/01/2023 3:48 PM","you need to store json somewhere, like IPFS kind of somewhere
then, you get CID of that metadata json and you send this CID as bytes to mint function 

That being said it is my understandgin that you *could* probably mint NFT with metadata directly buffered but youhave a 100B limit 😄 which i slike barely a URL string of data , hence why the recommended approach is to put json somewhere and only pass a link for it to minter","",""
"1059042719290372166","cm74#4165","01/02/2023 9:56 AM","Hi ! I am following the tutorial Create and Transfer Your First NFT in Hedera's website and I have this error : error status INSUFFICIENT_TX_FEE. Any help? What does it mean?","",""
"159035293180100609","deejay0076","01/02/2023 2:57 PM","it's a (sad) result of the price of hbar being lower. You happen to have the code snippet that's throwing the error? Assuming it's on the TokenCreateTransaction() you might need to adjust higher the max transaction fee (method shown below) oor if it's not there then add it. Fee free to share the code snip

```
.setMaxTransactionFee(XX)
```","",""
"159035293180100609","deejay0076","01/02/2023 3:00 PM","10","",""
"1059042719290372166","cm74#4165","01/03/2023 12:06 AM","Hi! You are right!  Thank you very much!!!  I set   .setDefaultMaxTransactionFee(new Hbar(200)) in client and it is working .","",""
"1059042719290372166","cm74#4165","01/03/2023 12:31 AM","What value should I use on mainnet ?","",""
"306966472692072448","vr1587","01/03/2023 3:25 AM","Well whatever fits your case ofc","",""
"306966472692072448","vr1587","01/03/2023 3:25 AM","If you measure fee in HBars though you can run into problems at any amount","",""
"159035293180100609","deejay0076","01/03/2023 3:30 AM","https://docs.hedera.com/hedera/mainnet/fees

Fees are measured in $ equivalent and paid in hbar. To size it this page should help. Given it is a max amount (i.e. it will take less if it needs less) then might as well add some headroom.","",""
"306966472692072448","vr1587","01/03/2023 3:40 AM","@Deejay I've been thinking of putting all the FE calls Contract*Function into database table with latest_gas_used and update it based on gas used on call * 1.19 
This way we just can be lazy and set 1 000 000 and let machine correct it over time.","",""
"306966472692072448","vr1587","01/03/2023 3:41 AM","And if the gas requirements are being raised for some reason if pricing jumps less than 20% we will dynamically adjust","",""
"306966472692072448","vr1587","01/03/2023 3:42 AM","Even better: 
Make default gas to use parse from dB, save to local storage 
If DB overshoots by >21% or has <10% gas reserve , make a call to DB to correct it","",""
"159035293180100609","deejay0076","01/03/2023 3:50 AM","Seems a neat idea indeed. I like the idea of it auto balancing rather than my test suites to figure out an appropriate algorithm","",""
"306966472692072448","vr1587","01/03/2023 3:51 AM","Aye. Gas usage is same on testnet and mainnet?","",""
"306966472692072448","vr1587","01/03/2023 3:52 AM","Just to know if I should reset stuff on migration","",""
"159035293180100609","deejay0076","01/03/2023 4:39 AM","appears consistent indeed (and my read of documentation is that is should be).","",""
"306966472692072448","vr1587","01/03/2023 4:42 AM","perfect, then the script will tune itself during testnet/previewnet testing","",""
"237708873828532225","craycrayultracontrarian","01/03/2023 10:19 PM","That makes sense, can i dm you if i have any more questions when I'm trying it?","",""
"306966472692072448","vr1587","01/04/2023 2:11 AM","Yeah but I frequently ignore DMs when I'm busy working on more complex logic 😂so no promises","",""
"1059042719290372166","cm74#4165","01/05/2023 8:22 AM","Hi there! Is there a way to make a secure transaction from the client side with javascript ? Or I have to do it in backend using Python ?","",""
"429323958592995328","Greg Scullard#5365","01/05/2023 2:07 PM","What do you mean by secure ?","",""
