AuthorID,Author,Date,Content,Attachments,Reactions
"429323958592995328","Greg Scullard#5365","10/22/2020 1:30 PM","Tokens away :)_","","❤️ (4),🪙 (4)"
"181301493796700161","0xholman#4290","10/22/2020 1:56 PM","So who's gonna be the first to wrap bitcoin","",""
"539527867688812574","Cooper#2101","10/22/2020 2:00 PM","I'd guess it depends which fork you're talking about 😉 and also when they'd get support in Ivy @0xholman","",""
"181301493796700161","0xholman#4290","10/22/2020 2:00 PM","I'm just tryna justify buying into this bull-run, but refuse to buy anything not running on Hedera 🙏","",""
"435638044960358401","gmulb#4018","10/22/2020 2:12 PM","https://tenor.com/view/-gif-4484642","",""
"435638044960358401","gmulb#4018","10/22/2020 2:12 PM","> I'd guess it depends which fork you're talking about 😉 and also when they'd get support in Ivy @0xholman","",""
"181301493796700161","0xholman#4290","10/22/2020 2:14 PM","I'm gonna wrap all the coins","",""
"181301493796700161","0xholman#4290","10/22/2020 2:15 PM","Is there a previewnet explorer?","",""
"539527867688812574","Cooper#2101","10/22/2020 2:16 PM","No public explorers currently, but Hedera's mirror node supports the previewnet so someone could add support if they wanted.","",""
"539527867688812574","Cooper#2101","10/22/2020 2:17 PM","I'd expect the community explorers to support HTS once it reaches testnet. But ultimately it's up to them, of course","",""
"539527867688812574","Cooper#2101","10/22/2020 2:22 PM","Is anyone thinking of attempting the hedera heroes challenge? Easy way to get familiar with the APIs and earn $1000 USD in ℏ 

https://github.com/hashgraph/hedera-heroes/issues/17","","👍 (2)"
"181301493796700161","0xholman#4290","10/22/2020 2:23 PM","Definitely want to, but want to let other people at it as well","",""
"539527867688812574","Cooper#2101","10/22/2020 2:25 PM","I believe that we'll accept multiple submissions (assuming they're different tutorials/demo apps) but @gehrig could clarify!","","🙏 (1)"
"349004433100767235","gehrig#7214","10/22/2020 2:32 PM","Yes, while no hard and fast rule we will accept up to 3 submissions -- assuming there are some differences between. I hear you might need a new CPU, @0xholman .","",""
"181301493796700161","0xholman#4290","10/22/2020 2:32 PM","yeah that's what I'm thinking as well lmao","","😂 (2)"
"703771596883492905","henrique | agryo.com#0917","10/22/2020 2:33 PM","any plans to integrate tokens into smart contracts?","",""
"349004433100767235","gehrig#7214","10/22/2020 2:42 PM","@henrique | agryo.com  currently an Ethereum token bridge is on our roadmap (hedera.com/roadmap). Outside of that, we are considering the best way to add greater degrees of programmability to Hedera tokens based on demand from the community.","","👍 (3)"
"758825972970815539","Nour#1216","10/22/2020 3:34 PM","Congratulations 🍾","",""
"359110568591884288","discorded#7633","10/22/2020 5:33 PM","> Yes, while no hard and fast rule we will accept up to 3 submissions -- assuming there are some differences between. I hear you might need a new CPU, @0xholman .
@gehrig Not everyone get the prize? Or what are the conditions?","",""
"349004433100767235","gehrig#7214","10/22/2020 5:36 PM","@discorded like any Hedera Heroes effort the best way is to post in the GitHub issue or reach out to Cooper or I and let us know what you'd like to do. If someone isn't already working on that and it meets the prerequisites we'll save a spot for you. Assuming you're done in a reasonable amount of time and meet the delivery expectations we'll send the hbars whenever we share the post. Does that make sense?","",""
"359110568591884288","discorded#7633","10/22/2020 5:39 PM","> @discorded like any Hedera Heroes effort the best way is to post in the GitHub issue or reach out to Cooper or I and let us know what you'd like to do. If someone isn't already working on that and it meets the prerequisites we'll save a spot for you. Assuming you're done in a reasonable amount of time and meet the delivery expectations we'll send the hbars whenever we share the post. Does that make sense?
@gehrig thanks for info","","👍 (2)"
"334130095109439488","Cryptoflo1#9265","10/23/2020 12:16 AM","Looking forward to this!!","",""
"181301493796700161","0xholman#4290","10/23/2020 2:34 AM","","https://cdn.discordapp.com/attachments/768621337865486347/769086426330955806/Screenshot_2020-10-23_at_08.34.33.png",""
"181301493796700161","0xholman#4290","10/23/2020 2:35 AM","CERT invalid?","",""
"429323958592995328","Greg Scullard#5365","10/23/2020 4:06 AM","@0xholman this is the grpcWeb proxy hosted by mhw that's not playing ball. You can spin up your own proxy, there are some files in the hs repo under scripts to get you started, this works for me.","",""
"429323958592995328","Greg Scullard#5365","10/23/2020 4:07 AM","envoy file, listens on port 80 and forwards gRPC calls to the 0.0.3 node on previewnet","https://cdn.discordapp.com/attachments/768621337865486347/769109671910440960/envoy.yaml",""
"429323958592995328","Greg Scullard#5365","10/23/2020 4:07 AM","then
```
docker run -dt -v {path}/envoy.yaml:/etc/envoy/envoy.yaml:ro -p 80:80 envoyproxy/envoy:v1.12.0
```","",""
"429323958592995328","Greg Scullard#5365","10/23/2020 4:08 AM","(replace {path} with the full path of the envoy.yaml file, has to be a full path, not a relative one)","",""
"429323958592995328","Greg Scullard#5365","10/23/2020 4:18 AM","You'll also have to modify the JS SDK (index-web.js)
```
const previewnetProxy = { ""http://localhost"": { shard: 0, realm: 0, account: 3 } };
```","",""
"181301493796700161","0xholman#4290","10/23/2020 12:34 PM","Awesome, thank you @Greg Scullard ! It looks like I didn't need to modify the index-web.js, I was able to define the network straight from react js","",""
